date,unrealized_daily_pnl,n_signal_rows_x,total_bp,realised_daily_pnl,n_signal_rows_y,total_bp_y,daily_pnl,cum_pnl,return_on_capital,return_on_deployed_bp,bp_utilization,equity,spy_return,strategy_equity,spy_equity
2026-06-18,3199.490284105665,55,2234033.9973476445,0.0,0.0,0.0,3199.490284105665,3199.490284105665,0.0010664967613685551,0.0014321582786583633,0.7446779991158815,3003199.4902841058,0.010369704874735541,3003199.4902841053,3031109.1146242064
2026-06-22,5140.2695860706735,65,2621335.8309973907,0.0,0.0,0.0,5140.2695860706735,8339.759870176338,0.0017134231953568912,0.0019609351557655454,0.8737786103324635,3008339.759870176,-0.0031470123470016542,3008345.241951042,3021570.176815375
2026-06-23,13141.70005846347,65,2621335.8309973907,0.0,0.0,0.0,13141.70005846347,21481.459928639808,0.00438056668615449,0.005013359945361595,0.8737786103324635,3021481.4599286397,-0.01452195757600172,3021523.498898384,2977691.0628947504
2026-06-24,-10830.09371435621,69,2787472.536502166,0.0,0.0,0.0,-10830.09371435621,10651.366214283598,-0.0036100312381187366,-0.003885273692398868,0.9291575121673887,3010651.3662142837,-0.00046348046566158096,3010615.704680651,2976310.9612543234
2026-06-25,-27332.881157591182,68,2741224.2245370704,1539.3019197635615,1.0,46248.31196509569,-25793.57923782762,-15142.213023544022,-0.00859785974594254,-0.009409510906457702,0.9137414081790235,2984857.786976456,0.001445638535813476,2984730.8531028745,2980613.6310744765
2026-06-26,8726.946595477255,67,2700908.216990195,2552.965905586014,1.0,40316.00754687519,11279.912501063269,-3862.300522480753,0.003759970833687756,0.004176340547267185,0.9003027389967317,2996137.6994775194,-0.007231376821462576,2995953.3540569493,2959059.690748989
2026-06-29,-24819.28812943823,66,2650908.216990195,2857.583335530986,1.0,50000.0,-21961.704793907244,-25824.005316387997,-0.007320568264635748,-0.008284596446285968,0.883636072330065,2974175.994683612,0.016474848763357475,2974021.273010911,3007809.751635826
2026-06-30,-8268.554269736645,65,2607036.6354305213,41.71327931554879,1.0,43871.5753291031,-8226.840990421097,-34050.84630680909,-0.0027422803301403657,-0.0031556292223191298,0.8690122118101737,2965949.153693191,0.007786774628879778,2965865.6729725143,3031230.888298361
2026-07-01,15848.800534138529,68,2743854.220119575,953.0477132158262,2.0,72810.93491484773,16801.848247354355,-17248.998059454738,0.005600616082451452,0.006123447858181819,0.9146180733731917,2982751.001940545,-0.00135249139628002,2982476.3479589554,3027131.174601799
2026-07-02,17864.574468649513,65,2623744.5669688545,4137.845288853383,3.0,120109.90226414097,22002.419757502896,4753.421698048158,0.007334139919167632,0.008385884828309233,0.8745815223229515,3004753.4216980482,-0.0013140956876207532,3004350.246800494,3023153.2345793927
2026-07-06,-16983.460866403555,74,2917315.796896523,-339.8754540684108,1.0,39668.82941027848,-17323.336320471964,-12569.914622423807,-0.005774445440157322,-0.005938108016588656,0.9724385989655077,2987430.0853775763,0.008727409436343647,2987001.7902172212,3049537.530646374
2026-07-07,23641.805587474933,71,2777198.35810042,1462.7385293280058,3.0,140117.43879610297,25104.54411680294,12534.629494379133,0.008368181372267646,0.009039521445624876,0.9257327860334733,3012534.6294943793,-0.004751890107549728,3011997.5629570466,3035046.4634218933
2026-07-08,6079.532870722325,71,2714416.5700342045,3917.607262321234,5.0,219544.5026626192,9997.140133043558,22531.76962742269,0.003332380044347853,0.003682979334641176,0.9048055233447349,3022531.7696274226,-0.003089433068970693,3022034.683529469,3025669.890511935
2026-07-09,-15541.809501193318,74,2798277.776319665,-276.2401526375019,5.0,202639.29732266717,-15818.04965383082,6713.719973591871,-0.005272683217943607,-0.005652780359294761,0.9327592587732216,3006713.719973592,0.0010598336463645275,3006100.45196958,3028876.5972646917
